strike,call_gamma,put_gamma,call_delta,put_delta,call_oi,put_oi,call_vol,put_vol,call_iv,put_iv,call_last,put_last
200.0,-2.4544765144534437e-08,,0.9999999999003933,,784.0,820.0,2.0,1.0,0.00021929771703218387,,6576.25,0.05
400.0,-1.909038575450818e-08,0.0,0.9999999999501967,0.0,25.0,15.0,1.0,4.0,0.00021929771687099282,0.00021929625157226197,6203.12,0.05
600.0,-3.545351800309773e-08,0.0,0.9999999996015736,0.0,0.0,1108.0,2.0,1.0,0.00021929771672943147,0.00021929625145043825,6102.92,0.03
800.0,1.6363132253793555e-08,0.0,1.0000000004482297,0.0,6.0,2130.0,2.0,30.0,0.00021929771654274565,0.00021929625124855092,5920.11,0.05
1000.0,8.18159045343055e-09,9.177491213705357e-08,1.0,-0.00010088940614616138,844.0,3838.0,3.0,1.0,0.0002192977164220455,18.776218700185556,5554.3,0.03
1200.0,-1.0908764992971003e-08,7.624741337193934e-08,0.9999999998007868,-7.194993338396624e-05,67.0,866.0,1.0,6.0,0.00021929771629224828,16.319202220273485,5789.41,0.08
1400.0,-2.1818116682582544e-08,1.3378586780318848e-07,0.9999999998007842,-0.0001233724365844266,19.0,363.0,2.0,3.0,0.0002192949121074655,15.56479899822051,5715.13,0.05
1600.0,1.0909052269277958e-08,1.5832803384878948e-07,1.0000000001494118,-0.00013489192957942021,0.0,462.0,,9.0,0.00021929491202487362,14.29545780483578,,0.05
1800.0,-5.454523098632319e-09,1.5775147055959208e-07,0.9999999999003921,-0.00012109961055919259,1.0,413.0,1.0,1.0,0.00021929491194957917,13.021770236486406,5105.24,0.13
2000.0,-1.0909034045668008e-08,1.8391633392757687e-07,0.9999999997509803,-0.00013126403825835468,13.0,246.0,1.0,1.0,0.00021929491187967025,12.05859277734725,4987.65,0.05
2200.0,1.0909052290095391e-08,2.134314861665336e-07,1.0000000001494118,-0.000141901462856431,1.0,501.0,3.0,20.0,0.0002192949118107512,11.191247476385342,4727.8,0.05
2300.0,5.454385572193291e-09,1.8523838409809472e-07,1.0000000001992133,-0.00011478526949016603,0.0,292.0,,5.0,0.00021929771557433053,10.464180145650905,,0.05
2400.0,1.0909088775165211e-08,3.341344765084851e-07,0.9999999999501961,-0.00021796406334968543,1.0,1689.0,1.0,926.0,0.00021929491173968218,10.535662285112856,4475.82,0.12
2500.0,-1.9090386016132505e-08,2.6535035324862205e-07,1.0000000000498033,-0.00015897146228523697,0.0,8461.0,,1.0,0.00021929771536582763,9.993449338478806,,0.05
2600.0,8.181818106947237e-09,3.861976894094958e-07,1.0,-0.00023508768208802181,23.0,666.0,1.0,44.0,0.00021929491165794426,9.77697874161232,4001.33,0.15
