strike,call_gex_m,put_gex_m,net_gex_m,call_oi,put_oi,call_vol,put_vol
200.0,-0.0009789701826438664,0.0,-0.0009789701826438664,784.0,820.0,2.0,1.0
400.0,-2.4280030811919982e-05,0.0,-2.4280030811919982e-05,25.0,15.0,1.0,4.0
600.0,-0.0,0.0,-0.0,0.0,1108.0,2.0,1.0
800.0,4.9947322436831244e-06,0.0,4.9947322436831244e-06,6.0,2130.0,2.0,30.0
1000.0,0.00035129721232676905,0.017919400186610306,-0.017568102974283538,844.0,3838.0,3.0,1.0
1200.0,-3.7183041323959445e-05,0.003359212888523855,-0.0033963959298478146,67.0,866.0,1.0,6.0
1400.0,-2.1089456211821898e-05,0.0024706509075854417,-0.0024917403637972637,19.0,363.0,2.0,3.0
1600.0,0.0,0.00372129684633776,-0.00372129684633776,0.0,462.0,0.0,9.0
1800.0,-2.774925359857588e-07,0.0033144997361973954,-0.0033147772287333813,1.0,413.0,1.0,1.0
2000.0,-7.214797899050736e-06,0.0023017064207128705,-0.0023089212186119213,13.0,246.0,1.0,1.0
2200.0,5.549853819372152e-07,0.005439897729936465,-0.005439342744554528,1.0,501.0,3.0,20.0
2300.0,0.0,0.0027517460768708714,-0.0027517460768708714,0.0,292.0,0.0,5.0
2400.0,5.549872380728235e-07,0.02871081094198636,-0.028710255954748288,1.0,1689.0,1.0,926.0
2500.0,-0.0,0.11421835100597703,-0.11421835100597703,0.0,8461.0,0.0,1.0
2600.0,9.573531641826997e-06,0.013085141427756812,-0.013075567896114986,23.0,666.0,1.0,44.0
2700.0,-0.0,0.11451177658588385,-0.11451177658588385,0.0,7351.0,2.0,6.0
2800.0,0.0,0.008013487309838654,-0.008013487309838654,0.0,479.0,0.0,242.0
2900.0,0.0,0.10125781873127652,-0.10125781873127652,0.0,6966.0,30.0,6.0
3000.0,-3.884917173093686e-06,0.013934299452992295,-0.013938184370165389,14.0,722.0,2.0,27.0
3100.0,-0.0,0.14572357946005,-0.14572357946005,0.0,5944.0,0.0,3.0
3200.0,3.4686543999912714e-07,0.018517942727173723,-0.018517595861733724,1.0,831.0,1.0,16.0
