strike,call_gamma,put_gamma,call_delta,put_delta,call_oi,put_oi,call_vol,put_vol,call_iv,put_iv,call_last,put_last
200.0,9.44420313892717e-08,,1.000000000393205,,784.0,820.0,2.0,1.0,0.000135251975308761,,6576.25,0.05
400.0,2.2666091239392545e-07,0.0,1.0000000005242733,0.0,25.0,15.0,1.0,4.0,0.00013525197475488471,0.00013525122336038216,6203.12,0.05
600.0,1.511072968133267e-07,0.0,1.000000000393205,0.0,0.0,1108.0,2.0,1.0,0.00013525197451259833,0.000135251223191767,6102.92,0.03
800.0,2.0777249749835315e-07,0.0,1.00000000078641,0.0,6.0,2130.0,2.0,30.0,0.0001352519743885868,0.00013525122275317346,5920.11,0.05
1000.0,-3.1999105797283005e-14,0.0,1.0000000002621368,0.0,844.0,3838.0,3.0,1.0,0.00013525197427623062,0.00013525122258986478,5554.3,0.03
1200.0,1.3221881737685102e-07,0.0,1.00000000078641,0.0,67.0,866.0,1.0,6.0,0.0001352519741653086,0.00013525122244047863,5789.41,0.08
1400.0,7.555702680276127e-08,0.0,1.000000000393214,0.0,19.0,363.0,3.0,3.0,0.00013525045434789268,0.00013524963645873735,5738.9,0.05
1600.0,-1.8889272743676533e-08,0.0,1.0,0.0,0.0,462.0,,9.0,0.00013525045419646473,0.0001352496363650017,,0.05
1800.0,2.0778179265538924e-07,0.0,1.0000000011796415,0.0,1.0,413.0,1.0,1.0,0.0001352504540403371,0.00013524963625999664,5105.24,0.13
2000.0,-3.777854565964792e-08,1.845605813637825e-07,1.0,-0.00013149841495607367,13.0,246.0,1.0,1.0,0.0001352504538719968,19.537812125388754,4987.65,0.05
2200.0,5.666778661886773e-08,2.142035395644531e-07,1.0000000002621425,-0.00014216299724256168,1.0,501.0,1.0,20.0,0.00013525045372891472,18.131438493574485,4936.37,0.05
2300.0,2.0777243785890288e-07,1.8592111942584787e-07,1.000000001179615,-0.00011500077092766124,0.0,292.0,,5.0,0.0001352519729633918,16.95260437454377,,0.05
2400.0,-6.399965085281499e-14,3.3539840490415323e-07,1.000000000393214,-0.0002183851181700237,1.0,1689.0,1.0,926.0,0.0001352504534578867,17.066661485770034,4475.82,0.12
2500.0,-3.777683318512217e-08,2.663515298691959e-07,0.9999999998689316,-0.0001592769628870114,0.0,8461.0,,1.0,0.00013525197275222135,16.187665491100308,,0.05
2600.0,1.1333554196154796e-07,3.877127492797178e-07,1.0000000006553564,-0.00023555848494151495,23.0,666.0,1.0,44.0,0.0001352504533118204,15.836514480801736,4001.33,0.15
2700.0,2.0777248718414235e-07,3.074026973278288e-07,1.0000000009174783,-0.0001716052627506425,0.0,7351.0,2.0,6.0,0.0001352519725521602,15.01547143624153,4290.38,0.05
2800.0,3.7778546055926096e-08,3.301747373980284e-07,1.0,-0.00017809250983275146,0.0,479.0,,242.0,0.00013525045317995806,14.462015514664001,,0.07
2900.0,-1.8888400713605954e-08,2.86897278077102e-07,1.0,-0.00014406450566142808,0.0,6966.0,30.0,6.0,0.0001352519723257379,13.621413046908593,3452.82,0.05
