strike,call_gex_m,put_gex_m,net_gex_m,call_oi,put_oi,call_vol,put_vol
200.0,-0.062158088779245675,0.0,-0.062158088779245675,784.0,820.0,2.0,1.0
400.0,-0.0004955203940467366,0.0,-0.0004955203940467366,25.0,15.0,1.0,4.0
600.0,0.0,0.0,0.0,0.0,1108.0,2.0,1.0
800.0,0.00011892485296834434,0.0,0.00011892485296834434,6.0,2130.0,2.0,30.0
1000.0,-0.18401648183718006,0.0,-0.18401648183718006,844.0,3838.0,3.0,1.0
1200.0,-0.007967969553379821,0.0,-0.007967969553379821,67.0,866.0,1.0,6.0
1400.0,-0.0011300417488972875,0.0,-0.0011300417488972875,19.0,363.0,3.0,3.0
1600.0,-0.0,0.0,-0.0,0.0,462.0,0.0,9.0
1800.0,1.9825284649126448e-05,0.0,1.9825284649126448e-05,1.0,413.0,1.0,1.0
2000.0,-0.0012886441850718704,0.0,-0.0012886441850718704,13.0,246.0,1.0,1.0
2200.0,0.00021807823447857707,0.0,0.00021807823447857707,1.0,501.0,1.0,20.0
2300.0,-0.0,0.0,-0.0,0.0,292.0,0.0,5.0
2400.0,-9.912648480586651e-05,0.0,-9.912648480586651e-05,1.0,1689.0,1.0,926.0
2500.0,0.0,0.0,0.0,0.0,8461.0,0.0,1.0
2600.0,0.0013679451958578026,0.0,0.0013679451958578026,23.0,666.0,1.0,44.0
2700.0,-0.0,0.0,-0.0,0.0,7351.0,2.0,6.0
2800.0,0.0,0.0,0.0,0.0,479.0,0.0,242.0
2900.0,-0.0,0.0,-0.0,0.0,6966.0,30.0,6.0
3000.0,-0.004718420443676924,0.0,-0.004718420443676924,14.0,722.0,2.0,27.0
3100.0,-0.0,0.0,-0.0,0.0,5944.0,0.0,3.0
3200.0,-0.00017842767192237916,0.0,-0.00017842767192237916,1.0,831.0,1.0,16.0
3300.0,0.0,0.0,0.0,0.0,455.0,0.0,75.0
3400.0,-0.0,0.0,-0.0,0.0,1044.0,0.0,1.0
3450.0,-5.946250061233746e-05,0.0,-5.946250061233746e-05,2.0,3091.0,4.0,2.0
3500.0,0.0,0.0,0.0,0.0,1752.0,0.0,1.0
3550.0,-0.0,0.0,-0.0,0.0,3319.0,1.0,6.0
3600.0,-0.0,0.0,-0.0,0.0,1870.0,0.0,2.0
3650.0,-0.0,0.0,-0.0,0.0,2570.0,0.0,6.0
3700.0,7.930118391648155e-05,0.0,7.930118391648155e-05,1.0,1399.0,1.0,2.0
3750.0,0.0,0.0,0.0,0.0,2300.0,0.0,4.0
3800.0,-0.0,0.0,-0.0,0.0,2659.0,0.0,2.0
3850.0,-0.0,0.0,-0.0,0.0,6.0,0.0,0.0
3900.0,0.0,0.07313749849547255,-0.07313749849547255,0.0,2406.0,0.0,1.0
3950.0,-0.0,0.0005688324554294868,-0.0005688324554294868,0.0,18.0,0.0,5.0
3975.0,-0.0,0.0,-0.0,0.0,1066.0,0.0,6.0
4000.0,-0.0012192574821228352,0.09254507959012842,-0.09376433707225125,123.0,2816.0,2.0,1.0
4025.0,-8.91937540795339e-05,0.03485891197961284,-0.03494810573369238,1.0,1040.0,2.0,51.0
4050.0,0.0,0.0037757245116186544,-0.0037757245116186544,0.0,89.0,0.0,15.0
4075.0,0.0,0.0,0.0,0.0,1154.0,0.0,6.0
4100.0,-0.0008425753181696476,0.039172428820653436,-0.040015004138823085,17.0,1101.0,4.0,16.0
4125.0,-0.0,0.0,-0.0,0.0,943.0,0.0,4.0
4150.0,0.0016851505875297382,0.15304991754144334,-0.1513647669539136,17.0,4132.0,4.0,16.0
4175.0,-0.0,0.06005388338434729,-0.06005388338434729,0.0,1079.0,0.0,11.0
