strike,call_gamma,put_gamma,call_delta,put_delta,call_oi,put_oi,call_vol,put_vol,call_iv,put_iv,call_last,put_last
200.0,-1.6445168738810205e-07,,1.0000000002232845,,784.0,820.0,2.0,1.0,0.00010362468992580192,,6576.25,0.05
400.0,1.0963447694073719e-07,0.0,0.9999999997767155,0.0,25.0,15.0,1.0,4.0,0.00010362468966807113,0.0001036236258869167,6203.12,0.05
600.0,-3.2890316004688054e-07,0.0,0.9999999988835776,0.0,0.0,1108.0,2.0,1.0,0.00010362468938191639,0.00010362362576602,6102.92,0.03
800.0,-5.48172062311579e-07,0.0,0.9999999988835776,0.0,6.0,2130.0,2.0,30.0,0.0001036246892475361,0.00010362362561281125,5920.11,0.05
1000.0,-1.6445158193993386e-07,0.0,0.9999999997767155,0.0,844.0,3838.0,3.0,1.0,0.00010362468879633805,0.00010362362549523358,5554.3,0.03
1200.0,1.6445141878479437e-07,0.0,1.0000000017862758,0.0,67.0,866.0,1.0,6.0,0.00010362468865596774,0.00010362362534504867,5789.41,0.08
1400.0,-1.0416080826552128e-06,0.0,0.9999999977670682,0.0,19.0,363.0,3.0,3.0,0.0001036226690488562,0.00010362173927269578,5738.9,0.05
1600.0,2.1928584767954695e-07,0.0,1.0000000008931726,0.0,0.0,462.0,,9.0,0.00010362266870881311,0.00010362173912979435,,0.05
1800.0,-1.0964295160836731e-07,0.0,0.9999999993301204,0.0,1.0,413.0,1.0,1.0,0.00010362266846816947,0.00010362173900932745,5105.24,0.13
2000.0,3.28928856102914e-07,0.0,1.0000000008931726,0.0,13.0,246.0,1.0,1.0,0.00010362266824722426,0.00010362173888446147,4987.65,0.05
2200.0,-1.0964300765668083e-07,0.0,1.0000000004465863,0.0,1.0,501.0,1.0,20.0,0.00010362266771991628,0.00010362173875440444,4936.37,0.05
2300.0,5.4817049592016274e-08,0.0,1.0000000015629913,0.0,0.0,292.0,,5.0,0.0001036246878771453,0.00010362362441732929,,0.05
2400.0,4.3857178803549647e-07,0.0,1.0000000017863455,0.0,1.0,1689.0,1.0,926.0,0.00010362266739970845,0.00010362173862643533,4475.82,0.12
2500.0,1.6445158602845367e-07,0.0,1.0000000006698535,0.0,0.0,8461.0,,1.0,0.00010362468752137774,0.00010362362419125995,,0.05
2600.0,3.2892899980157337e-07,0.0,1.0000000002232932,0.0,23.0,666.0,1.0,44.0,0.00010362266709587278,0.00010362173850474446,4001.33,0.15
2700.0,-5.481720827541827e-07,3.074060045377235e-07,0.9999999986602931,-0.00017160626439746113,0.0,7351.0,2.0,6.0,0.00010362468728781596,19.59838530373857,4290.38,0.05
2800.0,-1.64464486910958e-07,3.301782511071525e-07,0.9999999997767068,-0.00017809349932309187,0.0,479.0,,242.0,0.00010362266690485684,18.876126848378686,,0.07
2900.0,3.8372049817374727e-07,2.869001971689693e-07,1.0000000006698535,-0.0001440652745173096,0.0,6966.0,30.0,6.0,0.00010362468703195708,17.778727741722935,3452.82,0.05
3000.0,4.933932453565193e-07,3.809627313626299e-07,1.0000000015630524,-0.00019180492297020413,14.0,722.0,2.0,27.0,0.00010362266658897604,17.50590252526542,4049.05,0.05
3100.0,-2.740860168889534e-07,4.839605979093893e-07,0.9999999993301465,-0.00024198137290998121,0.0,5944.0,,3.0,0.00010362468678324015,17.001200950585933,,0.05
3200.0,-8.223221702858691e-08,4.399517061253205e-07,1.0,-0.0002066374796464644,1.0,831.0,1.0,16.0,0.00010362266637589293,16.224882292440224,3531.89,0.05
3300.0,-8.22322450527447e-08,5.596948448442662e-07,0.9999999998883534,-0.0002608955029635141,0.0,455.0,,75.0,0.00010362266588183328,15.756206621972796,,0.1
3400.0,1.3705369685787871e-07,6.023401733318361e-07,1.0000000003349399,-0.0002709881993049711,0.0,1044.0,,1.0,0.00010362266569089654,15.16186638670772,,0.03
3450.0,2.740860748088693e-08,7.183305476724731e-07,0.9999999996650732,-0.00032442428179599184,2.0,3091.0,4.0,2.0,0.00010362468613151202,15.009676057589648,3070.27,0.05
3500.0,3.837503523946851e-07,7.455260271189336e-07,1.0000000008931729,-0.00033071284534403093,0.0,1752.0,,1.0,0.00010362266550666274,14.722562776462993,,0.05
3550.0,-2.4667741511495976e-07,4.597452671225224e-07,0.9999999992185042,-0.00018373482703498136,0.0,3319.0,1.0,6.0,0.00010362468566106225,14.008412009384577,2972.7,0.05
3600.0,-5.482153368403053e-08,5.902825511973634e-07,1.0,-0.00024047961588942102,0.0,1870.0,,2.0,0.00010362266527460113,13.88876938630035,,0.05
3650.0,-2.740859975114653e-07,9.386054190756756e-07,0.999999999106862,-0.00040159838224099035,0.0,2570.0,,6.0,0.00010362468530760576,14.019140646544136,,0.1
3700.0,-8.223230084549916e-08,6.364821781664341e-07,1.0000000001116467,-0.0002499936073963525,1.0,1399.0,1.0,2.0,0.00010362266507442714,13.345648601098766,3415.07,0.05
3750.0,6.029893499719678e-07,1.1206108422388523e-06,1.0000000012280648,-0.0004697212037765668,0.0,2300.0,,4.0,0.00010362468507100574,13.610691172962685,,0.32
3800.0,-1.0964298644752358e-07,5.544944167857174e-07,0.9999999998883534,-0.00020229802125131322,0.0,2659.0,,2.0,0.00010362266485809695,12.685237336422464,,0.05
3850.0,-2.1928600100439335e-07,8.460514789457232e-07,0.9999999997767068,-0.000322868082682891,0.0,6.0,,,0.000103622664672272,12.689112135392948,,
3900.0,-2.7410753724404986e-07,5.987381099630661e-07,1.0,-0.00021042423883341338,0.0,2406.0,,1.0,0.00010362266432790186,12.17229157786277,,0.05
3950.0,-1.6446449560008367e-07,6.224493838509936e-07,1.0,-0.00021465677224210175,0.0,18.0,,5.0,0.00010362266414193293,11.92075699403532,,0.05
