strike,call_gex_m,put_gex_m,net_gex_m,call_oi,put_oi,call_vol,put_vol
1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,-0.0,3.762199629938715e-05,-3.762199629938715e-05,0.0,5.0,0.0,5.0
2200.0,0.0,7.866515305493383e-05,-7.866515305493383e-05,0.0,9.0,0.0,3.0
2400.0,7.105660433153741e-10,0.000769071330667286,-0.0007690706201012427,1.0,52.0,0.0,1.0
2600.0,0.0,0.004903838762861411,-0.004903838762861411,0.0,287.0,0.0,314.0
2800.0,-3.197719427822336e-09,0.011823133254514758,-0.011823136452234186,1.0,522.0,0.0,140.0
3000.0,-0.0,0.004659332845758271,-0.004659332845758271,0.0,299.0,0.0,9.0
3200.0,0.0,0.01792016079556029,-0.01792016079556029,0.0,806.0,0.0,25.0
3400.0,-0.0,0.006710877825313756,-0.006710877825313756,0.0,261.0,0.0,6.0
3600.0,-0.0,0.011566482627950393,-0.011566482627950393,0.0,388.0,0.0,11.0
3800.0,0.0,0.10146166810495803,-0.10146166810495803,0.0,3626.0,0.0,3.0
4000.0,-6.395752006847441e-08,0.08796784825259808,-0.08796791221011815,120.0,2171.0,120.0,3.0
4200.0,-0.0,0.036853091005617074,-0.036853091005617074,0.0,962.0,0.0,1.0
4400.0,-0.0,0.12369715342223145,-0.12369715342223145,0.0,2198.0,0.0,4.0
4600.0,-0.0,0.03480227001138185,-0.03480227001138185,0.0,646.0,0.0,3126.0
4800.0,-3.552830219882793e-10,0.12702309156971356,-0.12702309192499658,1.0,1961.0,1.0,51.0
4900.0,0.0,0.10500042992291016,-0.10500042992291016,1.0,1472.0,1.0,1.0
5000.0,4.76988477202474e-07,0.34691617916890416,-0.34691570218042694,895.0,4402.0,75.0,241.0
5100.0,1.1547207083722088e-09,0.17974733215466934,-0.17974733099994863,1.0,2057.0,1.0,20.0
5150.0,-8.882466988024342e-10,0.07911885194602068,-0.07911885283426738,1.0,689.0,1.0,2.0
5200.0,-1.4709365333201303e-07,4.672151585075814,-4.672151732169468,276.0,48029.0,1.0,30.0
5250.0,-0.0,0.21486267226929484,-0.21486267226929484,0.0,2090.0,0.0,1.0
5300.0,0.0,6.467098066082504,-6.467098066082504,0.0,47727.0,0.0,39.0
5350.0,0.0,0.04721727420882406,-0.04721727420882406,0.0,329.0,0.0,7.0
5375.0,-0.0,0.008718459882736685,-0.008718459882736685,0.0,59.0,0.0,6.0
5400.0,-6.040202813568488e-09,0.5686168023710784,-0.5686168084112811,4.0,3736.0,1.0,321.0
5425.0,-0.0,0.026501171672811692,-0.026501171672811692,0.0,169.0,0.0,28.0
5450.0,-4.530058166198865e-09,0.405503937056912,-0.4055039415869702,3.0,2509.0,3.0,1.0
5475.0,-0.0,0.026994690675123355,-0.026994690675123355,0.0,162.0,0.0,111.0
5500.0,-5.329480196089485e-09,0.26295479375279124,-0.26295479908227143,4.0,1530.0,2.0,19.0
5525.0,-0.0,0.03457902012359692,-0.03457902012359692,0.0,195.0,0.0,78.0
5550.0,-1.4630282733643663e-07,0.1546643308563493,-0.15466447715917664,183.0,845.0,3.0,60.0
5575.0,0.0,0.06685371608282666,-0.06685371608282666,0.0,300.0,0.0,100.0
5600.0,1.776430769364094e-09,1.0481748495723466,-1.0481748477959159,2.0,4555.0,1.0,3.0
5625.0,0.0,0.028288387087354757,-0.028288387087354757,0.0,119.0,0.0,12.0
5650.0,1.776180250490585e-10,0.6075491650487795,-0.6075491648711615,1.0,2473.0,4.0,35.0
5675.0,-0.0,0.07772499046395967,-0.07772499046395967,0.0,306.0,0.0,122.0
5700.0,1.065896039723164e-09,0.5768048068877933,-0.5768048058218973,3.0,1932.0,3.0,10.0
5725.0,0.0,0.7009183008000223,-0.7009183008000223,0.0,2578.0,0.0,90.0
5750.0,-8.633757922742899e-08,0.8571318977574702,-0.8571319840950494,54.0,3045.0,50.0,12.0
5775.0,-8.882466999174526e-08,0.17961482640192944,-0.17961491522659942,50.0,543.0,50.0,2.0
5800.0,-2.042998724838152e-09,2.355925214106272,-2.3559252161492705,1.0,6186.0,1.0,50.0
5825.0,-0.0,0.15319331914137044,-0.15319331914137044,0.0,388.0,0.0,40.0
5840.0,0.0,0.014932375607008918,-0.014932375607008918,0.0,37.0,0.0,85.0
5850.0,-1.1991612285793912e-08,0.30185451166884686,-0.3018545236604591,9.0,737.0,1.0,14.0
5860.0,0.0,0.009145361086076402,-0.009145361086076402,5.0,22.0,0.0,17.0
5870.0,-1.2525953819777058e-12,0.013924698528065143,-0.013924698529317738,40.0,33.0,40.0,4.0
5875.0,-0.0,0.11138772992043554,-0.11138772992043554,0.0,262.0,0.0,34.0
5880.0,-0.0,0.010709018066277106,-0.010709018066277106,0.0,25.0,0.0,33.0
5890.0,-0.0,0.05784300285427325,-0.05784300285427325,0.0,133.0,0.0,10.0
5900.0,-0.0,0.9755061932164546,-0.9755061932164546,0.0,2209.0,0.0,5.0
5910.0,0.0,0.0017938168058353006,-0.0017938168058353006,0.0,4.0,0.0,1.0
5920.0,-0.0,0.022008422048303503,-0.022008422048303503,0.0,44.0,0.0,3.0
5925.0,4.441233502940116e-10,0.21878717971638753,-0.21878717927226418,5.0,434.0,5.0,15.0
5930.0,0.0,0.013718427163474559,-0.013718427163474559,0.0,27.0,0.0,1.0
5940.0,-0.0,0.023743959619260426,-0.023743959619260426,0.0,46.0,0.0,11.0
5950.0,-7.106286754547904e-10,0.6078336679609624,-0.607833668671591,1.0,1159.0,2.0,2.0
5960.0,-2.2210081879560056e-08,0.016520420540261996,-0.016520442750343877,125.0,31.0,0.0,1.0
5970.0,-4.3701737679672335e-08,0.024130161039074352,-0.024130204740812032,41.0,41.0,41.0,12.0
5975.0,-0.0,0.4372921314478608,-0.4372921314478608,0.0,737.0,0.0,12.0
5980.0,-0.0,0.05682886281656016,-0.05682886281656016,0.0,95.0,0.0,52.0
5990.0,-0.0,0.24931714918625983,-0.24931714918625983,0.0,410.0,0.0,1.0
6000.0,-2.1912097271544854e-06,2.6689354691402114,-2.6689376603499384,1762.0,4008.0,1.0,302.0
6010.0,-9.060304239440995e-09,0.013541472770113663,-0.013541481830417902,6.0,20.0,4.0,1.0
6020.0,-0.0,0.013770422621724723,-0.013770422621724723,0.0,20.0,0.0,8.0
6025.0,-1.1547363688655942e-09,0.17081039285775904,-0.1708103940124954,1.0,246.0,1.0,3.0
6030.0,0.0,0.03361217708106826,-0.03361217708106826,0.0,48.0,0.0,2.0
6040.0,-0.0,0.33619655777178137,-0.33619655777178137,0.0,472.0,0.0,1.0
6050.0,7.104721014498239e-10,0.5709946679398192,-0.5709946672293471,8.0,788.0,1.0,1.0
6060.0,-0.0,0.007092835039564539,-0.007092835039564539,0.0,9.0,0.0,10.0
6070.0,-6.395501509105491e-08,0.07056905179983601,-0.0705691157548511,40.0,88.0,40.0,4.0
6075.0,0.0,0.38668681529530796,-0.38668681529530796,0.0,478.0,0.0,2.0
6080.0,0.0,0.08079450916937832,-0.08079450916937832,0.0,99.0,0.0,61.0
6090.0,0.0,0.2364279446917247,-0.2364279446917247,0.0,268.0,0.0,20.0
6100.0,-2.8425147045140373e-09,1.693620928320012,-1.6936209311625268,4.0,1886.0,7.0,138.0
6110.0,-0.0,0.020112712019678354,-0.020112712019678354,0.0,22.0,0.0,10.0
6120.0,-0.0,0.1926778768648476,-0.1926778768648476,0.0,196.0,0.0,202.0
6125.0,-3.553613104504183e-10,0.6894225703515142,-0.6894225707068755,4.0,695.0,3.0,5.0
6130.0,2.7980005966754025e-09,0.06606716654858542,-0.06606716375058483,3.0,66.0,3.0,2.0
6140.0,0.0,0.06728477192469068,-0.06728477192469068,0.0,66.0,0.0,1.0
6150.0,9.060210303535966e-09,3.5704122481145024,-3.570412239054292,12.0,3272.0,2.0,213.0
