strike,call_gamma,put_gamma,call_delta,put_delta,call_oi,put_oi,call_vol,put_vol,call_iv,put_iv,call_last,put_last
1600.0,6.978573916855992e-12,,1.0,,0.0,0.0,,,0.0009748685800784833,,,
1800.0,4.187144350922231e-11,1.5740024092121209e-07,1.000000000007558,-0.00012095889187462473,0.0,0.0,,,0.000974868579985729,2.9322277014683764,,
2000.0,-2.7914603212016726e-11,1.4778995686226977e-07,0.9999999999974807,-0.0001020097175364323,0.0,5.0,,5.0,0.0009748685799011097,2.6367645145992324,,0.05
2200.0,4.187144351951404e-11,1.716773389109354e-07,1.000000000007558,-0.0001103223889573679,0.0,9.0,,3.0,0.0009748685798653783,2.445534760320052,,0.15
2400.0,1.3956532775891467e-11,2.904934662906081e-07,1.000000000007558,-0.00018556604110540653,1.0,52.0,,1.0,0.0009748685796866325,2.3537588131677256,,0.25
2600.0,5.582859138385617e-11,3.356041911639281e-07,1.0000000000125966,-0.00020008054545850488,0.0,287.0,,314.0,0.0009748685796525878,2.183846942382445,,0.1
2800.0,-6.280778039191974e-11,4.448721018005235e-07,0.9999999999949614,-0.0002530716623562182,1.0,522.0,,140.0,0.0009748685795260652,2.0432391536743846,,0.15
3000.0,-3.489409976412225e-11,3.0607343529989875e-07,0.9999999999949614,-0.00014897378238842233,0.0,299.0,,9.0,0.0009748685794977182,1.82728796845635,,0.05
3200.0,6.978573925738735e-12,4.366967408870731e-07,1.0000000000025193,-0.00020585609644819313,0.0,806.0,,25.0,0.0009748685794596872,1.7283629882429457,,0.28
3400.0,-1.3957762921305323e-11,5.050238813698267e-07,0.9999999999987403,-0.00022190721134298562,0.0,261.0,,6.0,0.0009748685794332571,1.6005525617008498,,0.1
3600.0,-3.838246413048953e-11,5.855212679819432e-07,0.9999999999937017,-0.00023949072651300603,0.0,388.0,,11.0,0.0009748685794036444,1.4801120513566877,,0.14
3800.0,1.7445819748163902e-11,5.496007146128195e-07,1.0000000000088176,-0.00020138587277986438,0.0,3626.0,,3.0,0.0009748685793786562,1.3520497203383108,,0.05
4000.0,-1.046847596009009e-11,7.958610231138776e-07,1.0000000000025193,-0.0002804442363126266,120.0,2171.0,120.0,3.0,0.0009748685793457694,1.2582611434333844,2605.48,0.05
4200.0,-1.0468475960733361e-11,7.524401094243577e-07,1.0000000000025193,-0.00023657061430642465,0.0,962.0,,1.0,0.0009748685793189867,1.1420861501765671,,0.05
4400.0,-2.7914603247057997e-11,1.1053634696473998e-06,0.9999999999987403,-0.00033189206918441067,0.0,2198.0,,4.0,0.0009748685792895745,1.057751795727017,,0.05
4600.0,-4.8850940103107544e-11,1.0581522128327147e-06,0.999999999996221,-0.00028162670814376996,0.0,646.0,,3126.0,0.000974868579264463,0.9513637592219891,,0.05
4800.0,-6.978266394439038e-12,1.2722667443178145e-06,0.999999999996221,-0.00030940000658620466,1.0,1961.0,1.0,51.0,0.0009748685792325507,0.8621829023116176,1807.97,0.05
4900.0,0.0,1.4010587850591986e-06,0.9999999999987403,-0.0003249939238976627,1.0,1472.0,1.0,1.0,0.0009748685792048165,0.8189881487596231,1709.07,0.05
5000.0,1.0467860894948542e-11,1.5479167746199338e-06,1.0000000000025193,-0.00034192973244518175,895.0,4402.0,75.0,241.0,0.0009748685791634505,0.7766739757305862,1586.38,0.05
5100.0,2.2680365273583086e-11,1.7163318108309378e-06,1.000000000003779,-0.0003603963456548258,1.0,2057.0,1.0,20.0,0.000974868579136161,0.7352059566731888,1286.72,0.05
5150.0,-1.7446434826905195e-11,2.2554533308242153e-06,0.9999999999987403,-0.00047765424729705733,1.0,689.0,1.0,2.0,0.0009748685791079288,0.7270585566047654,1237.62,0.15
5200.0,-1.0467860896878241e-11,1.9106734580776135e-06,0.9999999999981105,-0.0003806191888456161,276.0,48029.0,1.0,30.0,0.0009748685790723974,0.6945517560540142,1577.33,0.07
5250.0,-5.234237983307347e-12,2.0192392386125347e-06,1.0000000000012597,-0.0003914719470318983,0.0,2090.0,,1.0,0.0009748685790420338,0.6745202801421075,,0.15
5300.0,1.570117627801597e-11,2.6614505438582596e-06,1.000000000004409,-0.0005196273836089487,0.0,47727.0,,39.0,0.0009748685790172063,0.6668072227133532,,0.1
5350.0,1.3956532795861442e-11,2.8188898418570103e-06,1.0000000000050386,-0.0005350363081093405,0.0,329.0,,7.0,0.0009748685789853242,0.6471079421802917,,0.2
5375.0,-6.150690933231913e-16,2.902423970999443e-06,1.000000000003779,-0.0005430379793343708,0.0,59.0,,6.0,0.0009748685789611489,0.637328451836317,,0.22
5400.0,-2.96595542855068e-11,2.989412949969468e-06,0.9999999999987403,-0.0005512511810664819,4.0,3736.0,1.0,321.0,0.0009748685789315208,0.6275954607860175,1719.63,0.1
5425.0,-3.489286967004437e-12,3.0800052811018186e-06,0.9999999999993702,-0.0005596757049899178,0.0,169.0,,28.0,0.0009748685788811604,0.6179077093917694,,0.1
5450.0,-2.9658939220839496e-11,3.1744427868910537e-06,0.9999999999981105,-0.0005683290450617016,3.0,2509.0,3.0,1.0,0.0009748685788580501,0.608265653615921,1536.82,0.15
5475.0,-2.7915218342126126e-11,3.272927846599454e-06,0.9999999999974807,-0.0005772176849428835,0.0,162.0,,111.0,0.0009748685788374861,0.598668617225924,,0.1
5500.0,-2.6169652256438625e-11,3.375691514807169e-06,0.9999999999943315,-0.0005863515037352523,4.0,1530.0,2.0,19.0,0.0009748685788060871,0.5891162156461257,919.67,0.15
5525.0,-2.6169652258046706e-11,3.4829814491271594e-06,0.9999999999981105,-0.0005957409382832391,0.0,195.0,,78.0,0.0009748685787767665,0.5796080711456778,,0.15
