strike,call_oi,put_oi,total_oi,net_oi,distance_from_spot,call_volume,put_volume,total_volume
200.0,784,820,1604,-36,-6926.17,2,1,3
400.0,25,15,40,10,-6726.17,1,4,5
600.0,0,1108,1108,-1108,-6526.17,2,1,3
800.0,6,2130,2136,-2124,-6326.17,2,30,32
1000.0,844,3838,4682,-2994,-6126.17,3,1,4
1200.0,67,866,933,-799,-5926.17,1,6,7
1400.0,19,363,382,-344,-5726.17,2,3,5
1600.0,0,462,462,-462,-5526.17,0,9,9
1800.0,1,413,414,-412,-5326.17,1,1,2
2000.0,13,246,259,-233,-5126.17,1,1,2
2200.0,1,501,502,-500,-4926.17,3,20,23
2300.0,0,292,292,-292,-4826.17,0,5,5
2400.0,1,1689,1690,-1688,-4726.17,1,926,927
2500.0,0,8461,8461,-8461,-4626.17,0,1,1
2600.0,23,666,689,-643,-4526.17,1,44,45
2700.0,0,7351,7351,-7351,-4426.17,2,6,8
2800.0,0,479,479,-479,-4326.17,0,242,242
2900.0,0,6966,6966,-6966,-4226.17,30,6,36
3000.0,14,722,736,-708,-4126.17,2,27,29
3100.0,0,5944,5944,-5944,-4026.17,0,3,3
3200.0,1,831,832,-830,-3926.17,1,16,17
3300.0,0,455,455,-455,-3826.17,0,75,75
3400.0,0,1044,1044,-1044,-3726.17,0,1,1
3450.0,2,3091,3093,-3089,-3676.17,4,2,6
3500.0,0,1752,1752,-1752,-3626.17,0,1,1
3550.0,0,3319,3319,-3319,-3576.17,1,6,7
3600.0,0,1870,1870,-1870,-3526.17,0,2,2
3650.0,0,2570,2570,-2570,-3476.17,0,6,6
3700.0,1,1399,1400,-1398,-3426.17,1,2,3
3750.0,0,2300,2300,-2300,-3376.17,0,4,4
3800.0,0,2659,2659,-2659,-3326.17,0,2,2
3850.0,0,6,6,-6,-3276.17,0,0,0
3900.0,0,2406,2406,-2406,-3226.17,0,1,1
3950.0,0,18,18,-18,-3176.17,0,5,5
3975.0,0,1066,1066,-1066,-3151.17,0,6,6
4000.0,123,2816,2939,-2693,-3126.17,1,1,2
4025.0,1,1040,1041,-1039,-3101.17,2,51,53
4050.0,0,89,89,-89,-3076.17,0,15,15
4075.0,0,1154,1154,-1154,-3051.17,0,6,6
4100.0,17,1101,1118,-1084,-3026.17,27,16,43
4125.0,0,943,943,-943,-3001.17,0,4,4
4150.0,17,4132,4149,-4115,-2976.17,27,16,43
4175.0,0,1079,1079,-1079,-2951.17,0,11,11
4200.0,0,2656,2656,-2656,-2926.17,0,21,21
4225.0,0,954,954,-954,-2901.17,0,2,2
4250.0,0,339,339,-339,-2876.17,0,16,16
4275.0,0,1372,1372,-1372,-2851.17,0,1,1
4300.0,0,2886,2886,-2886,-2826.17,0,50,50
4325.0,0,1181,1181,-1181,-2801.17,0,50,50
4350.0,0,310,310,-310,-2776.17,0,16,16
4375.0,0,1085,1085,-1085,-2751.17,0,20,20
4400.0,2,3644,3646,-3642,-2726.17,1,1001,1002
4425.0,0,1002,1002,-1002,-2701.17,0,10,10
4450.0,0,224,224,-224,-2676.17,0,22,22
4475.0,0,1339,1339,-1339,-2651.17,0,1,1
4500.0,14,1633,1647,-1619,-2626.17,8,1,9
4525.0,0,1197,1197,-1197,-2601.17,0,111,111
4550.0,1,249,250,-248,-2576.17,1,6,7
4575.0,1,1665,1666,-1664,-2551.17,2,182,184
4600.0,5,1126,1131,-1121,-2526.17,4,52,56
4625.0,0,883,883,-883,-2501.17,0,1,1
4650.0,0,324,324,-324,-2476.17,0,16,16
4675.0,0,950,950,-950,-2451.17,0,177,177
4700.0,1,1760,1761,-1759,-2426.17,1,460,461
4725.0,4,1809,1813,-1805,-2401.17,6,24,30
4750.0,43,432,475,-389,-2376.17,43,14,57
4775.0,0,1910,1910,-1910,-2351.17,0,113,113
4800.0,5,3391,3396,-3386,-2326.17,1,2277,2278
4825.0,0,51,51,-51,-2301.17,0,2,2
4850.0,1,290,291,-289,-2276.17,1,17,18
4875.0,0,81,81,-81,-2251.17,0,5,5
4900.0,20,2589,2609,-2569,-2226.17,20,8,28
4925.0,0,18,18,-18,-2201.17,0,1,1
4950.0,0,331,331,-331,-2176.17,0,100,100
4975.0,0,39,39,-39,-2151.17,0,2,2
5000.0,331,2890,3221,-2559,-2126.17,5,50,55
5025.0,0,42,42,-42,-2101.17,0,1,1
5050.0,0,751,751,-751,-2076.17,1,57,58
5075.0,0,69,69,-69,-2051.17,0,36,36
5100.0,1,3219,3220,-3218,-2026.17,1,40,41
5110.0,0,20,20,-20,-2016.17,0,18,18
5120.0,0,28,28,-28,-2006.17,0,8,8
5125.0,0,116,116,-116,-2001.17,0,10,10
5130.0,0,94,94,-94,-1996.17,0,11,11
5140.0,0,11,11,-11,-1986.17,0,11,11
5150.0,3,779,782,-776,-1976.17,1,50,51
5160.0,0,52,52,-52,-1966.17,0,14,14
5170.0,0,85,85,-85,-1956.17,0,1,1
5175.0,0,436,436,-436,-1951.17,0,1,1
5180.0,0,147,147,-147,-1946.17,0,126,126
5190.0,0,43,43,-43,-1936.17,0,30,30
5200.0,6,3785,3791,-3779,-1926.17,1,10,11
5210.0,0,11,11,-11,-1916.17,0,3,3
5220.0,0,100,100,-100,-1906.17,0,1,1
5225.0,20,302,322,-282,-1901.17,34,65,99
5230.0,0,40,40,-40,-1896.17,0,5,5
5240.0,0,42,42,-42,-1886.17,0,6,6
5250.0,1,14993,14994,-14992,-1876.17,1,90,91
5260.0,0,93,93,-93,-1866.17,0,64,64
5270.0,0,46,46,-46,-1856.17,0,20,20
5275.0,0,665,665,-665,-1851.17,0,7,7
5280.0,375,24,399,351,-1846.17,0,9,9
5290.0,0,39,39,-39,-1836.17,0,1,1
5300.0,1,41979,41980,-41978,-1826.17,1,8,9
5310.0,0,108,108,-108,-1816.17,0,65,65
5320.0,0,71,71,-71,-1806.17,0,63,63
5325.0,0,241,241,-241,-1801.17,0,25,25
5330.0,0,80,80,-80,-1796.17,0,20,20
5340.0,5,103,108,-98,-1786.17,0,41,41
5350.0,0,36537,36537,-36537,-1776.17,1,11,12
5360.0,0,62,62,-62,-1766.17,0,33,33
5370.0,0,66,66,-66,-1756.17,0,11,11
5375.0,0,2600,2600,-2600,-1751.17,0,13,13
5380.0,0,72,72,-72,-1746.17,0,11,11
5390.0,0,361,361,-361,-1736.17,0,309,309
5400.0,355,60885,61240,-60530,-1726.17,2,27,29
5410.0,100,22,122,78,-1716.17,0,14,14
5420.0,1,61,62,-60,-1706.17,1,34,35
5425.0,3,10381,10384,-10378,-1701.17,27,4,31
5430.0,0,106,106,-106,-1696.17,0,4,4
5440.0,0,53,53,-53,-1686.17,0,4,4
5450.0,3,17361,17364,-17358,-1676.17,1,217,218
5460.0,0,80,80,-80,-1666.17,0,5,5
5470.0,1,122,123,-121,-1656.17,27,27,54
5475.0,0,7038,7038,-7038,-1651.17,0,4,4
5480.0,5,96,101,-91,-1646.17,0,10,10
5490.0,3,200,203,-197,-1636.17,5,99,104
5500.0,16,2930,2946,-2914,-1626.17,3,12,15
5510.0,0,28,28,-28,-1616.17,0,14,14
5520.0,2,261,263,-259,-1606.17,2,207,209
5525.0,3,339,342,-336,-1601.17,6,10,16
5530.0,6,91,97,-85,-1596.17,11,2,13
5540.0,150,47,197,103,-1586.17,3,3,6
5550.0,0,1883,1883,-1883,-1576.17,0,5,5
5560.0,6,93,99,-87,-1566.17,11,5,16
5570.0,3,40,43,-37,-1556.17,6,6,12
5575.0,1,483,484,-482,-1551.17,1,20,21
5580.0,0,208,208,-208,-1546.17,0,1,1
5590.0,4,143,147,-139,-1536.17,4,88,92
5600.0,4,6405,6409,-6401,-1526.17,1,1352,1353
5610.0,0,589,589,-589,-1516.17,10,1,11
5620.0,0,1362,1362,-1362,-1506.17,0,2,2
5625.0,0,211,211,-211,-1501.17,0,1,1
5630.0,50,194,244,-144,-1496.17,50,2,52
5640.0,0,185,185,-185,-1486.17,0,100,100
5650.0,4,901,905,-897,-1476.17,1,2,3
5660.0,0,545,545,-545,-1466.17,0,1,1
5670.0,203,544,747,-341,-1456.17,3,6,9
5675.0,41,964,1005,-923,-1451.17,1,27,28
5680.0,0,351,351,-351,-1446.17,0,249,249
5690.0,6,182,188,-176,-1436.17,0,54,54
5700.0,4,1889,1893,-1885,-1426.17,1,82,83
5710.0,0,374,374,-374,-1416.17,0,40,40
5720.0,0,82,82,-82,-1406.17,0,1,1
5725.0,1,5655,5656,-5654,-1401.17,5,1,6
5730.0,0,155,155,-155,-1396.17,0,4,4
5735.0,0,30,30,-30,-1391.17,0,10,10
5740.0,0,231,231,-231,-1386.17,0,5,5
5745.0,1,9,10,-8,-1381.17,1,10,11
5750.0,3,2493,2496,-2490,-1376.17,1,2,3
5755.0,0,12,12,-12,-1371.17,0,10,10
5760.0,4,234,238,-230,-1366.17,4,3,7
5765.0,0,27,27,-27,-1361.17,0,1,1
5770.0,6,321,327,-315,-1356.17,12,8,20
5775.0,44,6204,6248,-6160,-1351.17,40,13,53
5780.0,3,285,288,-282,-1346.17,7,8,15
5785.0,0,284,284,-284,-1341.17,0,21,21
5790.0,16,177,193,-161,-1336.17,1,1,2
5795.0,0,24,24,-24,-1331.17,0,1,1
5800.0,3,2433,2436,-2430,-1326.17,1,87,88
5805.0,0,19,19,-19,-1321.17,0,2,2
5810.0,287,307,594,-20,-1316.17,17,1,18
5815.0,0,21,21,-21,-1311.17,0,8,8
5820.0,0,238,238,-238,-1306.17,0,38,38
5825.0,6,10271,10277,-10265,-1301.17,12,9,21
5830.0,0,133,133,-133,-1296.17,0,9,9
5835.0,0,264,264,-264,-1291.17,0,2,2
5840.0,0,318,318,-318,-1286.17,0,38,38
5845.0,0,77,77,-77,-1281.17,0,69,69
5850.0,8,1482,1490,-1474,-1276.17,4,2,6
5855.0,0,319,319,-319,-1271.17,0,2,2
5860.0,1,188,189,-187,-1266.17,1,4,5
5865.0,0,39,39,-39,-1261.17,0,1,1
5870.0,44,187,231,-143,-1256.17,44,1,45
5875.0,1,10090,10091,-10089,-1251.17,1,11,12
5880.0,10,159,169,-149,-1246.17,6,40,46
5885.0,0,103,103,-103,-1241.17,0,1,1
5890.0,0,214,214,-214,-1236.17,0,5,5
5895.0,25,52,77,-27,-1231.17,25,1,26
5900.0,53,3791,3844,-3738,-1226.17,1,2841,2842
5905.0,1,48,49,-47,-1221.17,1,1,2
5910.0,0,583,583,-583,-1216.17,0,25,25
5915.0,0,40,40,-40,-1211.17,0,1,1
5920.0,0,139,139,-139,-1206.17,1,2,3
5925.0,5,528,533,-523,-1201.17,4,33,37
5930.0,4,259,263,-255,-1196.17,4,5,9
5935.0,0,31,31,-31,-1191.17,0,1,1
5940.0,0,204,204,-204,-1186.17,0,1,1
5945.0,2,52,54,-50,-1181.17,2,42,44
5950.0,3,1091,1094,-1088,-1176.17,5,196,201
5955.0,0,62,62,-62,-1171.17,0,2,2
5960.0,0,162,162,-162,-1166.17,0,27,27
5965.0,0,50,50,-50,-1161.17,0,19,19
5970.0,41,208,249,-167,-1156.17,40,29,69
5975.0,5,286,291,-281,-1151.17,5,2,7
5980.0,0,411,411,-411,-1146.17,0,11,11
5985.0,0,304,304,-304,-1141.17,0,2,2
5990.0,11,539,550,-528,-1136.17,11,1,12
5995.0,0,105,105,-105,-1131.17,0,33,33
6000.0,183,5821,6004,-5638,-1126.17,17,3,20
6005.0,13,178,191,-165,-1121.17,2,39,41
6010.0,10,161,171,-151,-1116.17,20,49,69
6015.0,0,70,70,-70,-1111.17,1,1,2
6020.0,1,131,132,-130,-1106.17,1,29,30
6025.0,3,424,427,-421,-1101.17,2,1,3
6030.0,13,317,330,-304,-1096.17,10,23,33
6035.0,0,69,69,-69,-1091.17,0,10,10
6040.0,1,541,542,-540,-1086.17,1,28,29
6045.0,0,62,62,-62,-1081.17,0,24,24
6050.0,4,1010,1014,-1006,-1076.17,3,49,52
6055.0,24,114,138,-90,-1071.17,24,3,27
6060.0,0,189,189,-189,-1066.17,2,1,3
6065.0,9,44,53,-35,-1061.17,9,9,18
6070.0,51,271,322,-220,-1056.17,40,2,42
6075.0,1,1104,1105,-1103,-1051.17,1,1,2
6080.0,11,214,225,-203,-1046.17,4,3,7
6085.0,0,98,98,-98,-1041.17,0,12,12
6090.0,1,6528,6529,-6527,-1036.17,1,1,2
6095.0,111,134,245,-23,-1031.17,1,2,3
6100.0,80,3825,3905,-3745,-1026.17,7,3,10
6105.0,22,56,78,-34,-1021.17,1,1,2
6110.0,1,245,246,-244,-1016.17,1,1,2
6115.0,0,73,73,-73,-1011.17,0,3,3
6120.0,3,126,129,-123,-1006.17,4,1,5
6125.0,1,401,402,-400,-1001.17,1,5,6
6130.0,0,164,164,-164,-996.17,0,21,21
6135.0,0,79,79,-79,-991.17,0,17,17
6140.0,1,224,225,-223,-986.17,1,48,49
6145.0,0,151,151,-151,-981.17,0,24,24
6150.0,170,9117,9287,-8947,-976.17,1,69,70
6155.0,2,368,370,-366,-971.17,1,82,83
6160.0,0,253,253,-253,-966.17,0,43,43
6165.0,1,99,100,-98,-961.17,1,44,45
6170.0,2,373,375,-371,-956.17,2,45,47
6175.0,2,342,344,-340,-951.17,4,1,5
6180.0,5,249,254,-244,-946.17,5,51,56
6185.0,31,181,212,-150,-941.17,48,60,108
6190.0,3,214,217,-211,-936.17,1,2,3
6195.0,2,282,284,-280,-931.17,2,33,35
6200.0,128,3434,3562,-3306,-926.17,9,31,40
6205.0,4,202,206,-198,-921.17,1,30,31
6210.0,3,269,272,-266,-916.17,1,2,3
6215.0,39,95,134,-56,-911.17,48,30,78
6220.0,1,302,303,-301,-906.17,2,15,17
6225.0,14,716,730,-702,-901.17,1,47,48
6230.0,8,229,237,-221,-896.17,5,1,6
6235.0,1,143,144,-142,-891.17,10,3,13
6240.0,45,474,519,-429,-886.17,37,55,92
6245.0,10,1315,1325,-1305,-881.17,9,17,26
6250.0,37,2824,2861,-2787,-876.17,5,1,6
6255.0,4,210,214,-206,-871.17,3,6,9
6260.0,55,402,457,-347,-866.17,51,45,96
6265.0,5,92,97,-87,-861.17,4,16,20
6270.0,126,835,961,-709,-856.17,3,11,14
6275.0,32,575,607,-543,-851.17,21,3,24
6280.0,9,671,680,-662,-846.17,1,1,2
6285.0,10,206,216,-196,-841.17,8,3,11
6290.0,9,871,880,-862,-836.17,1,10,11
6295.0,3,337,340,-334,-831.17,2,26,28
6300.0,95,5803,5898,-5708,-826.17,10,10,20
6305.0,27,323,350,-296,-821.17,5,22,27
