strike,call_oi,put_oi,total_oi,net_oi,distance_from_spot,call_volume,put_volume,total_volume
1600.0,4,6,10,-2,-5643.51,1,1,2
1800.0,0,0,0,0,-5443.51,0,0,0
2000.0,0,3,3,-3,-5243.51,0,3,3
2200.0,0,2,2,-2,-5043.51,0,1,1
2400.0,0,77,77,-77,-4843.51,0,50,50
2600.0,0,196,196,-196,-4643.51,2,50,52
2800.0,0,20,20,-20,-4443.51,0,6,6
3000.0,0,32,32,-32,-4243.51,2,10,12
3200.0,0,90,90,-90,-4043.51,0,2,2
3400.0,0,131,131,-131,-3843.51,0,3,3
3600.0,0,148,148,-148,-3643.51,0,4,4
3800.0,0,273,273,-273,-3443.51,0,13,13
4000.0,140,375,515,-235,-3243.51,14,10,24
4200.0,0,689,689,-689,-3043.51,0,1,1
4400.0,1,1117,1118,-1116,-2843.51,1,2,3
4600.0,6,8735,8741,-8729,-2643.51,5,1,6
4800.0,1,3329,3330,-3328,-2443.51,0,2506,2506
4900.0,0,360,360,-360,-2343.51,0,5,5
5000.0,1007,3131,4138,-2124,-2243.51,30,141,171
5050.0,4,3227,3231,-3223,-2193.51,30,1000,1030
5100.0,0,16572,16572,-16572,-2143.51,0,31,31
5150.0,0,325,325,-325,-2093.51,0,2,2
5200.0,2,45971,45973,-45969,-2043.51,1,125,126
5250.0,1,114,115,-113,-1993.51,1,10,11
5300.0,2,47359,47361,-47357,-1943.51,1,121,122
5350.0,1,93,94,-92,-1893.51,1,1,2
5400.0,3,3714,3717,-3711,-1843.51,3,100,103
5450.0,0,142,142,-142,-1793.51,0,1,1
5475.0,0,658,658,-658,-1768.51,0,1,1
5500.0,8,3862,3870,-3854,-1743.51,2,501,503
5525.0,0,672,672,-672,-1718.51,0,626,626
5550.0,0,1737,1737,-1737,-1693.51,0,1001,1001
5575.0,0,161,161,-161,-1668.51,0,1,1
5600.0,22,6276,6298,-6254,-1643.51,2,213,215
5625.0,22,1254,1276,-1232,-1618.51,22,1,23
5650.0,2,1560,1562,-1558,-1593.51,1,12,13
5675.0,0,65,65,-65,-1568.51,0,1,1
5700.0,0,1127,1127,-1127,-1543.51,0,65,65
5725.0,1,235,236,-234,-1518.51,1,1,2
5750.0,0,21551,21551,-21551,-1493.51,1,1,2
5775.0,0,471,471,-471,-1468.51,0,3,3
5800.0,2,6447,6449,-6445,-1443.51,1,4,5
5825.0,0,265,265,-265,-1418.51,0,4,4
5850.0,1,801,802,-800,-1393.51,1,5,6
5875.0,0,425,425,-425,-1368.51,0,8,8
5900.0,0,1794,1794,-1794,-1343.51,0,100,100
5925.0,18,1787,1805,-1769,-1318.51,18,704,722
5950.0,0,2409,2409,-2409,-1293.51,0,1,1
5970.0,18,78,96,-60,-1273.51,18,2,20
5975.0,1,209,210,-208,-1268.51,1,2,3
